satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,heure_supplementaires,augementation_salaire_precedente,genre,statut_marital,departement,poste,a_quitte_l_entreprise,domaine_etude,frequence_deplacement
2,3,2,4,1,1,3,41,5993,8,8,6,4,0,0,1,2,0,5,Oui,11 %,F,Célibataire,Commercial,Cadre Commercial,Oui,Infra & Cloud,Occasionnel
3,2,2,2,4,3,4,49,5130,1,10,10,7,1,3,8,1,1,7,Non,23 %,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Frequent
4,2,1,3,2,3,3,37,2090,6,7,0,0,0,3,2,2,0,0,Oui,15 %,M,Célibataire,Consulting,Consultant,Oui,Autre,Occasionnel
4,3,1,3,3,3,3,33,2909,1,8,8,7,0,3,3,4,3,0,Oui,11 %,F,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Frequent
1,3,1,2,4,3,3,27,3468,9,6,2,2,1,3,2,1,2,2,Non,12 %,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,3,1,4,3,2,3,32,3068,0,8,7,7,0,2,2,2,3,6,Non,13 %,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Frequent
3,4,1,1,1,2,4,59,2670,4,12,1,0,3,3,3,3,0,0,Oui,20 %,F,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,3,1,3,2,3,4,30,2693,1,1,1,0,1,2,24,1,0,0,Non,22 %,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Occasionnel
4,2,3,3,2,3,4,38,9526,0,10,9,7,0,2,23,3,1,8,Non,21 %,M,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Frequent
3,3,2,3,2,2,3,36,5237,6,17,7,7,2,3,27,3,7,7,Non,13 %,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Occasionnel
1,4,1,2,3,3,3,35,2426,0,6,5,4,1,5,16,3,0,3,Non,13 %,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,2,2,3,4,3,3,29,4193,0,10,9,5,0,3,15,2,0,8,Oui,12 %,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Occasionnel
1,3,1,3,4,2,3,31,2911,1,5,5,2,1,1,26,1,4,3,Non,17 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
2,3,1,4,3,3,3,34,2661,0,3,2,2,1,2,19,2,1,2,Non,11 %,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Occasionnel
3,2,1,3,2,3,3,28,2028,5,6,4,2,0,4,24,3,0,3,Oui,14 %,M,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Occasionnel
2,4,3,1,3,3,3,29,9980,1,10,10,9,1,1,21,4,8,8,Non,11 %,F,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Occasionnel
1,4,1,2,4,2,3,32,3298,0,7,6,2,2,5,5,2,0,5,Oui,12 %,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
4,4,1,4,2,2,3,22,2935,1,1,1,0,2,2,16,2,0,0,Oui,13 %,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Aucun
1,2,4,4,3,3,3,53,15427,2,31,25,8,0,3,2,4,3,7,Non,16 %,F,Marié(e),Commercial,Senior Manager,Non,Infra & Cloud,Occasionnel
4,3,1,4,3,3,3,38,3944,5,6,3,2,0,3,2,3,1,2,Oui,11 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
1,4,2,3,4,2,3,24,4011,0,5,4,2,1,5,11,2,1,3,Non,18 %,F,Divorcé(e),Consulting,Tech Lead,Non,Autre,Aucun
3,2,1,1,2,3,4,36,3407,7,10,5,3,0,4,9,4,0,3,Non,23 %,M,Célibataire,Commercial,Représentant Commercial,Oui,Infra & Cloud,Occasionnel
1,3,3,2,3,3,3,34,11994,0,13,12,6,0,4,7,4,2,11,Non,11 %,F,Célibataire,Consulting,Directeur Technique,Non,Infra & Cloud,Occasionnel
3,3,1,4,4,3,3,21,1232,1,0,0,0,0,6,15,2,0,0,Non,14 %,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Occasionnel
2,3,1,1,3,3,3,34,2960,2,8,4,2,0,2,6,1,1,3,Non,11 %,M,Célibataire,Consulting,Assistant de Direction,Oui,Transformation Digitale,Occasionnel
3,3,5,3,4,2,3,53,19094,4,26,14,13,1,3,5,3,4,8,Non,11 %,F,Divorcé(e),Consulting,Senior Manager,Non,Autre,Occasionnel
2,1,1,1,2,3,4,32,3919,1,10,10,2,0,5,16,1,6,7,Oui,22 %,F,Célibataire,Consulting,Assistant de Direction,Oui,Infra & Cloud,Frequent
3,3,2,2,4,3,3,42,6825,0,10,9,7,1,2,8,4,4,2,Non,11 %,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Occasionnel
1,2,3,4,4,3,3,44,10248,3,24,22,6,1,4,7,4,5,17,Non,14 %,F,Marié(e),Consulting,Manager,Non,Transformation Digitale,Occasionnel
2,3,5,1,4,2,3,46,18947,3,22,2,2,0,2,2,4,2,1,Non,12 %,F,Célibataire,Commercial,Senior Manager,Non,Marketing,Occasionnel
3,3,1,4,4,3,3,33,2496,4,7,1,1,0,3,2,3,0,0,Non,11 %,M,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,3,2,4,4,4,3,44,6465,2,9,4,2,0,5,10,4,1,3,Oui,13 %,M,Marié(e),Consulting,Manager,Non,Autre,Occasionnel
4,2,1,3,1,3,3,30,2206,1,10,10,0,0,5,9,2,1,8,Non,13 %,M,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Occasionnel
4,3,2,4,3,4,3,39,2086,3,19,1,0,1,6,5,3,0,0,Non,14 %,M,Marié(e),Commercial,Représentant Commercial,Oui,Entrepreunariat,Occasionnel
2,3,1,4,1,2,3,24,2293,2,6,2,0,1,2,1,3,2,0,Oui,16 %,M,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Occasionnel
